run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,layout_text,detail_text,detail_url
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107977225/,OLIO奥沢,東京都世田谷区奥沢3,7.5万,75000.0,20.55,6.216375233114071,,,1K,7階 | 7.5万円 7.5万円 | 1K 20.55m 2,https://suumo.jp/chintai/jnc_000107977225/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107362762/,世田谷区東玉川1丁目戸建,東京都世田谷区東玉川1,31万,310000.0,87.35,26.423375990876597,,,3LDK,1-3階 | 31万円 31万円 | 3LDK 87.35m 2,https://suumo.jp/chintai/jnc_000107362762/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000108007714/,ミハス奥沢,東京都世田谷区東玉川2,8.8万,88000.0,21.73,6.573325246499697,,,1K,1階 | - 8.8万円 | 1K 21.73m 2,https://suumo.jp/chintai/jnc_000108007714/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107993006/,ヴィクトワール奥沢,東京都世田谷区奥沢3,17.2万,172000.0,52.37,15.841925594072208,,,1LDK,2階 | 17.2万円 34.4万円 | 1LDK 52.37m 2,https://suumo.jp/chintai/jnc_000107993006/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107804157/,世田谷区奥沢4丁目戸建,東京都世田谷区奥沢4,22.5万,225000.0,90.18,27.279451022979412,,,3LDK,1階 | 22.5万円 - | 3LDK 90.18m 2,https://suumo.jp/chintai/jnc_000107804157/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107238277/,Arc奥沢B棟,東京都世田谷区奥沢1,13.8万,138000.0,36.85,11.147125418017202,,,1LDK,1階 | 13.8万円 13.8万円 | 1LDK 36.85m 2,https://suumo.jp/chintai/jnc_000107238277/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000108007712/,シュバイツァーホーフ,東京都世田谷区東玉川1,13万,130000.0,35.93,10.868825407580951,,,1LDK,1階 | 13万円 26万円 | 1LDK 35.93m 2,https://suumo.jp/chintai/jnc_000108007712/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107781726/,島マンション,東京都世田谷区奥沢1,12.7万,127000.0,35.03,10.596575397371577,,,1LDK,1階 | - 6.35万円 | 1LDK 35.03m 2,https://suumo.jp/chintai/jnc_000107781726/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000104989294/,アトリオフラッツ自由が丘イースト,東京都世田谷区奥沢2,14.5万,145000.0,25.33,7.662325287337198,,,1K,1階 | 14.5万円 - | 1K 25.33m 2,https://suumo.jp/chintai/jnc_000104989294/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000107899058/,グランピア自由が丘,東京都世田谷区奥沢5,13万,130000.0,26.17,7.916425296865949,,,1K,1階 | 13万円 - | 1K 26.17m 2,https://suumo.jp/chintai/jnc_000107899058/
2026-06-26,2026-06-26T07:53:56+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000108027429/,東急池上線 雪が谷大塚駅 5階建 築16年,東京都大田区石川町2,17.8万,178000.0,45.27,13.694175513531581,,,1LDK,2階 | 17.8万円 35.6万円 | 1LDK 45.27m 2,https://suumo.jp/chintai/jnc_000108027429/
