run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,layout_text,detail_text,detail_url
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100468156056,アパートメントカヤ田園調布,東京都大田区田園調布2,23万,230000.0,62.89,19.024225713408462,,,2LDK,3階 | 23万円 23万円 | 2LDK 62.89m 2,https://suumo.jp/chintai/jnc_000102136084/?bc=100468156056
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100480991805,東急目黒線 田園調布駅 3階建 築60年,東京都大田区田園調布2,23万,230000.0,68.0,20.570000771375028,,,2LDK,3階 | 23万円 23万円 | 2LDK 68m 2,https://suumo.jp/chintai/jnc_000102616700/?bc=100480991805
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492185001,自由が丘パインクレスト,東京都世田谷区奥沢6,15.5万,155000.0,48.89,14.789225554595957,,,2DK,2階 | 31万円 15.5万円 | 2DK 48.89m 2,https://suumo.jp/chintai/jnc_000105204648/?bc=100492185001
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100491048569,自由が丘パインクレスト,東京都世田谷区奥沢6,23.8万,238000.0,63.72,19.275300722823776,,,3DK,3階 | 23.8万円 23.8万円 | 3DK 63.72m 2,https://suumo.jp/chintai/jnc_000102303721/?bc=100491048569
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492886243,きらら,東京都世田谷区奥沢2,10万,100000.0,24.87,7.523175282119073,,,1K,1階 | 10万円 10万円 | 1K 24.87m 2,https://suumo.jp/chintai/jnc_000105382527/?bc=100492886243
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100489394440,ファミーユ田園,東京都世田谷区玉川田園調布2,12.7万,127000.0,38.82,11.74305044036439,,,2DK,1階 | 12.7万円 12.7万円 | 2DK 38.82m 2,https://suumo.jp/chintai/jnc_000055322210/?bc=100489394440
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100488689483,ファミーユ田園,東京都世田谷区玉川田園調布2,13.7万,137000.0,40.0,12.100000453750017,,,2DK,1階 | 13.7万円 13.7万円 | 2DK 40m 2,https://suumo.jp/chintai/jnc_000104962510/?bc=100488689483
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100489003968,Mimosa House Jiyugaoka,東京都目黒区緑が丘2,8.3万,83000.0,20.0,6.050000226875008,,,1K,1階 | 8.3万円 - | 1K 20m 2,https://suumo.jp/chintai/jnc_000090360574/?bc=100489003968
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100491905295,東急大井町線 九品仏駅 3階建 築55年,東京都世田谷区奥沢6,23万,230000.0,63.0,19.057500714656275,,,3DK,1階 | 23万円 23万円 | 3DK 63m 2,https://suumo.jp/chintai/jnc_000105249225/?bc=100491905295
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100483386784,cielle自由が丘,東京都世田谷区玉川田園調布2,12.2万,122000.0,28.15,8.515375319326573,,,1K,3階 | 12.2万円 12.2万円 | 1K 28.15m 2,https://suumo.jp/chintai/jnc_000104139319/?bc=100483386784
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492253453,cielle自由が丘,東京都世田谷区玉川田園調布2,12.2万,122000.0,25.97,7.855925294597197,,,1K,2階 | 12.2万円 12.2万円 | 1K 25.97m 2,https://suumo.jp/chintai/jnc_000105280676/?bc=100492253453
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100471185461,cielle自由が丘,東京都世田谷区玉川田園調布2,17.4万,174000.0,40.45,12.236125458854705,,,1LDK,3階 | 17.4万円 17.4万円 | 1LDK 40.45m 2,https://suumo.jp/chintai/jnc_000102261917/?bc=100471185461
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492462992,noam,東京都世田谷区奥沢2,8.8万,88000.0,18.87,5.7081752140565705,,,ワンルーム,1階 | - - | ワンルーム 18.87m 2,https://suumo.jp/chintai/jnc_000050259270/?bc=100492462992
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492443661,オークヒル自由が丘,東京都世田谷区奥沢5,10.5万,105000.0,27.75,8.394375314789073,,,1K,1階 | - 18万円 | 1K 27.75m 2,https://suumo.jp/chintai/jnc_000105328939/?bc=100492443661
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492979763,シンシア雪谷大塚casa,東京都大田区南雪谷1,8.4万,84000.0,24.73,7.480825280530948,,,1K,3階 | 8.4万円 8.4万円 | 1K 24.73m 2,https://suumo.jp/chintai/jnc_000105390578/?bc=100492979763
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100476979514,シンシア雪谷大塚casa,東京都大田区南雪谷1,8.4万,84000.0,22.61,6.8395252564821964,,,1K,3階 | - - | 1K 22.61m 2,https://suumo.jp/chintai/jnc_000103278362/?bc=100476979514
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100492131340,シンシア雪谷大塚casa,東京都大田区南雪谷1,9.5万,95000.0,22.36,6.763900253646259,,,1K,4階 | 9.5万円 - | 1K 22.36m 2,https://suumo.jp/chintai/jnc_000105233196/?bc=100492131340
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100490737415,キャッスル自由が丘,東京都世田谷区奥沢6,23万,230000.0,60.0,18.150000680625023,,,3DK,1階 | 23万円 23万円 | 3DK 60m 2,https://suumo.jp/chintai/jnc_000105249224/?bc=100490737415
2026-03-03,2026-03-03T06:55:34+09:00,rent,賃貸,100437974516,SOLEIL大岡山,東京都目黒区大岡山2,6.8万,68000.0,11.88,3.593700134763755,,,ワンルーム,1階 | 6.8万円 6.8万円 | ワンルーム 11.88m 2,https://suumo.jp/chintai/jnc_000105041959/?bc=100437974516
