run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,layout_text,detail_text,detail_url
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000089788393/,奥沢4丁目貸家,東京都世田谷区奥沢4,18万,180000.0,85.75,25.939375972726598,,,5SDK,- | 18万円 18万円 | 5SDK 85.75m 2,https://suumo.jp/chintai/jnc_000089788393/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105080882/,SUNNY COURT,東京都世田谷区奥沢2,9.6万,96000.0,27.94,8.451850316944387,,,1K,1階 | 9.6万円 9.6万円 | 1K 27.94m 2,https://suumo.jp/chintai/jnc_000105080882/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106061398/,Wood Space Okusawa,東京都世田谷区奥沢5,8.5万,85000.0,20.83,6.301075236290321,,,1K,1階 | 8.5万円 12.75万円 | 1K 20.83m 2,https://suumo.jp/chintai/jnc_000106061398/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000104139242/,奥沢コーポラス,東京都世田谷区奥沢3,6.5万,65000.0,20.0,6.050000226875008,,,1K,2階 | 6.5万円 6.5万円 | 1K 20m 2,https://suumo.jp/chintai/jnc_000104139242/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105843361/,日興パレス田園調布第2,東京都世田谷区東玉川1,6万,60000.0,18.63,5.63557521133407,,,ワンルーム,1階 | 6万円 6万円 | ワンルーム 18.63m 2,https://suumo.jp/chintai/jnc_000105843361/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106113311/,クレッセントSE.1,東京都世田谷区奥沢3,6万,60000.0,17.13,5.181825194318444,,,1K,2階 | - - | 1K 17.13m 2,https://suumo.jp/chintai/jnc_000106113311/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105689084/,奥沢4丁目戸建,東京都世田谷区奥沢4,34万,340000.0,74.94,22.669350850100656,,,1SK,- | 34万円 34万円 | 1SK 74.94m 2,https://suumo.jp/chintai/jnc_000105689084/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105710724/,Ensoleillee,東京都目黒区緑が丘2,17.4万,174000.0,46.0,13.91500052181252,,,2DK,2階 | 17.4万円 17.4万円 | 2DK 46m 2,https://suumo.jp/chintai/jnc_000105710724/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106274250/,Lumiere自由が丘,東京都世田谷区奥沢7,9.8万,98000.0,29.75,8.999375337476575,,,1K,1階 | 9.8万円 9.8万円 | 1K 29.75m 2,https://suumo.jp/chintai/jnc_000106274250/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106204770/,フォーフロント,東京都目黒区八雲1,11.4万,114000.0,29.89,9.0417253390647,,,1K,2階 | 11.4万円 11.4万円 | 1K 29.89m 2,https://suumo.jp/chintai/jnc_000106204770/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105664020/,エルプラド自由が丘,東京都世田谷区奥沢5,10.4万,104000.0,21.69,6.561225246045947,,,ワンルーム,1階 | 10.4万円 10.4万円 | ワンルーム 21.69m 2,https://suumo.jp/chintai/jnc_000105664020/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105554718/,Will自由が丘,東京都目黒区自由が丘1,11万,110000.0,23.82,7.205550270208135,,,ワンルーム,3階 | 16.5万円 11万円 | ワンルーム 23.82m 2,https://suumo.jp/chintai/jnc_000105554718/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105374933/,グラン シャンテ,東京都世田谷区奥沢4,36万,360000.0,84.82,25.658050962176908,,,3LDK,1階 | - 72万円 | 3LDK 84.82m 2,https://suumo.jp/chintai/jnc_000105374933/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105005964/,プラウド奥沢,東京都世田谷区奥沢3,35万,350000.0,79.67,24.100175903756597,,,3LDK,3階 | 70万円 35万円 | 3LDK 79.67m 2,https://suumo.jp/chintai/jnc_000105005964/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105628280/,リラ奥沢,東京都世田谷区奥沢4,16万,160000.0,35.05,10.602625397598452,,,1LDK,2階 | 16万円 16万円 | 1LDK 35.05m 2,https://suumo.jp/chintai/jnc_000105628280/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106146613/,東急目黒線 奥沢駅 2階建 築25年,東京都世田谷区奥沢3,12.5万,125000.0,33.64,10.176100381603764,,,1LDK,2階 | 12.5万円 12.5万円 | 1LDK 33.64m 2,https://suumo.jp/chintai/jnc_000106146613/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000105608468/,ウェルスクエアイズム奥沢,東京都世田谷区奥沢1,10.9万,109000.0,23.4,7.078500265443759,,,ワンルーム,3階 | 10.9万円 10.9万円 | ワンルーム 23.4m 2,https://suumo.jp/chintai/jnc_000105608468/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,https://suumo.jp/chintai/jnc_000106192219/,ライラック,東京都世田谷区東玉川1,27万,270000.0,143.46,43.39665162737444,,,2LDK,1階 | 54万円 27万円 | 2LDK 143.46m 2,https://suumo.jp/chintai/jnc_000106192219/
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,100476531719,間島アパート,東京都世田谷区玉堤1,4.5万,45000.0,15.73,4.758325178437194,,,ワンルーム,2階 | 4.5万円 4.5万円 | ワンルーム 15.73m 2,https://suumo.jp/chintai/jnc_000091086478/?bc=100476531719
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,100476182355,サンワード深沢,東京都世田谷区深沢3,8.5万,85000.0,27.62,8.355050313314386,,,ワンルーム,2階 | 8.5万円 8.5万円 | ワンルーム 27.62m 2,https://suumo.jp/chintai/jnc_000092740956/?bc=100476182355
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,100494323434,東急大井町線 尾山台駅 2階建 築67年,東京都世田谷区深沢3,6.1万,61000.0,33.57,10.1549253808097,,,1K,2階 | 6.1万円 - | 1K 33.57m 2,https://suumo.jp/chintai/jnc_000105578197/?bc=100494323434
2026-04-06,2026-04-06T06:52:39+09:00,rent,賃貸,100496282848,パークガーデン,東京都世田谷区奥沢2,16万,160000.0,33.68,10.188200382057513,,,1LDK,2階 | 16万円 - | 1LDK 33.68m 2,https://suumo.jp/chintai/jnc_000105807216/?bc=100496282848
