run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,detail_text,detail_url
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486126611,パルク深沢III,東京都世田谷区深沢1,7.4万,74000.0,,,,,3階 | - 7.4万円 | ワンルーム 23.68m 2,https://suumo.jp/chintai/jnc_000097224772/?bc=100486126611
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486126612,パルク深沢III,東京都世田谷区深沢1,7.7万,77000.0,,,,,3階 | - 7.7万円 | ワンルーム 24.76m 2,https://suumo.jp/chintai/jnc_000097224773/?bc=100486126612
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100483843366,シェ-ル,東京都世田谷区深沢4,6.5万,65000.0,,,,,1階 | 6.5万円 6.5万円 | ワンルーム 14.58m 2,https://suumo.jp/chintai/jnc_000104211502/?bc=100483843366
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100338139040,アンビエンテ深沢,東京都世田谷区深沢4,6.6万,66000.0,,,,,1階 | 6.6万円 6.6万円 | ワンルーム 19.85m 2,https://suumo.jp/chintai/jnc_000082408653/?bc=100338139040
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100329488122,アンビエンテ深沢,東京都世田谷区深沢4,6.7万,67000.0,,,,,2階 | 6.7万円 6.7万円 | ワンルーム 19.94m 2,https://suumo.jp/chintai/jnc_000100024690/?bc=100329488122
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100305950978,アンビエンテ深沢,東京都世田谷区深沢4,6.7万,67000.0,,,,,1階 | 6.7万円 6.7万円 | ワンルーム 19.94m 2,https://suumo.jp/chintai/jnc_000100024689/?bc=100305950978
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100208223176,アンビエンテ深沢,東京都世田谷区深沢4,6.7万,67000.0,,,,,2階 | 6.7万円 6.7万円 | ワンルーム 19.94m 2,https://suumo.jp/chintai/jnc_000096102789/?bc=100208223176
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100426195216,田園調布リバ-サイドハイツ,東京都世田谷区玉堤1,5.3万,53000.0,,,,,4階 | 5.3万円 5.3万円 | ワンルーム 16m 2,https://suumo.jp/chintai/jnc_000068200548/?bc=100426195216
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100476531719,間島アパート,東京都世田谷区玉堤1,4.5万,45000.0,,,,,2階 | 4.5万円 4.5万円 | ワンルーム 15.73m 2,https://suumo.jp/chintai/jnc_000091086478/?bc=100476531719
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100476308252,サンワード深沢,東京都世田谷区深沢3,8.5万,85000.0,,,,,2階 | 8.5万円 8.5万円 | ワンルーム 27.62m 2,https://suumo.jp/chintai/jnc_000092740956/?bc=100476308252
